department,1st year,,,2nd year,,,3rd year,,,4th year,,,5 th year
CIVIL ENGINEERING,A,B,,A,B,,A,B,,A,B,,
MECHANICAL ENGINEERING,A,B,C,A,B,C,A,B,C,A,B,C,
ELECTRICAL & ELECTRONICS ENGINEERING,A,B,,A,B,,A,B,,A,B,,
ELECTRONICS & COMMUNICATION ENGINEERING,A,B,,A,B,,A,B,,A,B,,
COMPUTER SCIENCE AND ENGINEERING,A,B,,A,B,,A,B,,A,B,,
CHEMICAL ENGINEERING,A,,,A,,,A,,,A,,,
ELECTRICAL & COMPUTER ENGINEERING,A,,,A,,,A,,,A,,,
ARCHITECTURE,A,,,A,,,A,,,A,,,A
COMPUTER SCIENCE & ENGINEERING (AI),A,,,A,,,A,,,A,,,
MCA,A,,,A,,,,,,,,,
MTech,,,,,,,,,,,,,
